Unnamed: 0,work_year,experience_level,employment_type,job_title,salary,salary_currency,salary_in_usd,employee_residence,remote_ratio,company_location,company_size
223,2021,2,2,22,40900,8,56256,20,50,18,0
224,2021,3,2,41,225000,16,225000,55,100,6,0
225,2021,1,0,46,416000,16,416000,55,100,48,2
226,2021,3,2,22,110000,2,87738,8,100,6,2
227,2021,2,2,22,75000,7,88654,14,50,12,0
228,2021,3,2,22,135000,16,135000,55,0,48,0
229,2021,3,2,12,90000,2,71786,8,100,6,1
230,2021,0,2,7,1200000,10,16228,27,100,25,0
231,2021,3,2,36,256000,16,256000,55,100,48,2
232,2021,3,2,24,200000,16,200000,55,100,48,0
233,2021,3,2,12,200000,16,200000,55,100,48,0
234,2021,2,2,16,180000,16,180000,55,100,48,0
235,2021,2,2,30,110000,16,110000,55,0,48,2
236,2021,2,2,48,80000,2,63810,8,100,6,1
237,2021,2,2,22,39600,7,46809,18,100,16,1
238,2021,0,2,22,4000,16,4000,56,0,49,1
239,2021,0,2,17,1600000,10,21637,27,50,25,1
240,2021,3,2,22,130000,2,103691,8,100,6,0
241,2021,2,2,12,80000,16,80000,55,100,48,0
242,2021,2,2,17,110000,16,110000,55,100,48,0
243,2021,3,2,22,165000,16,165000,55,100,48,0
244,2021,0,2,1,1335000,10,18053,27,100,1,2
245,2021,2,2,17,52500,8,72212,20,50,18,0
246,2021,0,2,22,31000,7,36643,19,50,17,0
247,2021,2,2,17,108000,15,12103,53,0,46,1
248,2021,3,2,17,70000,8,96282,20,50,18,0
249,2021,3,2,44,170000,16,170000,55,100,48,1
250,2021,2,2,22,115000,16,115000,55,50,48,0
251,2021,0,2,22,90000,16,90000,55,100,48,2
252,2021,1,2,45,600000,16,600000,55,100,48,0
253,2021,0,2,22,2100000,10,28399,27,100,25,1
254,2021,2,2,12,93000,16,93000,55,100,48,0
255,2021,3,2,6,125000,2,99703,8,50,6,1
256,2021,2,2,17,200000,16,200000,55,100,48,0
257,2021,3,2,46,147000,7,173762,14,100,12,1
258,2021,3,2,38,185000,16,185000,55,50,48,0
259,2021,1,2,25,120000,7,141846,14,0,12,0
260,2021,2,2,22,130000,16,130000,55,50,48,0
261,2021,3,2,12,54000,7,63831,14,50,12,0
262,2021,2,2,22,1250000,10,16904,27,100,25,2
263,2021,3,2,38,4900000,10,66265,27,0,25,0
264,2021,2,2,22,21600,7,25532,48,100,12,2
265,2021,3,2,33,160000,16,160000,45,50,48,2
266,2021,2,2,17,93150,16,93150,55,0,48,1
267,2021,2,2,17,111775,16,111775,55,0,48,1
268,2021,2,2,17,250000,15,28016,53,100,46,1
269,2021,0,2,17,55000,7,65013,14,50,12,1
270,2021,0,2,17,72500,16,72500,55,100,48,0
271,2021,3,2,10,102000,1,18907,7,0,5,1
272,2021,0,2,19,65000,7,76833,14,0,12,0
273,2021,0,2,38,85000,16,85000,40,100,12,2
274,2021,3,2,22,65720,7,77684,19,50,17,1
275,2021,0,2,22,100000,16,100000,55,100,48,1
276,2021,0,2,22,58000,16,58000,55,50,48,0
277,2021,3,2,1,55000,16,55000,18,100,16,0
278,2021,3,2,22,180000,15,20171,53,50,46,0
279,2021,0,2,8,50000,7,59102,34,100,31,0
280,2021,2,2,17,112000,16,112000,55,100,48,0
281,2021,0,2,48,100000,16,100000,31,0,9,0
282,2021,2,3,17,59000,7,69741,40,100,37,0
283,2021,3,0,49,105000,16,105000,55,100,48,1
284,2021,2,2,48,69999,16,69999,13,50,11,0
285,2021,3,2,21,7000000,10,94665,27,50,25,0
286,2021,3,2,29,87000,7,102839,51,100,45,0
287,2021,2,2,22,109000,16,109000,55,50,48,0
288,2021,2,2,38,43200,7,51064,30,50,28,0
289,2022,3,2,17,135000,16,135000,55,100,48,1
290,2022,3,2,12,155000,16,155000,55,100,48,1
291,2022,3,2,12,120600,16,120600,55,100,48,1
292,2022,2,2,22,130000,16,130000,55,0,48,1
293,2022,2,2,22,90000,16,90000,55,0,48,1
294,2022,2,2,17,170000,16,170000,55,100,48,1
295,2022,2,2,17,150000,16,150000,55,100,48,1
296,2022,3,2,12,102100,16,102100,55,100,48,1
297,2022,3,2,12,84900,16,84900,55,100,48,1
298,2022,3,2,22,136620,16,136620,55,100,48,1
299,2022,3,2,22,99360,16,99360,55,100,48,1
300,2022,3,2,22,90000,8,117789,20,0,18,1
301,2022,3,2,22,80000,8,104702,20,0,18,1
302,2022,3,2,22,146000,16,146000,55,100,48,1
303,2022,3,2,22,123000,16,123000,55,100,48,1
304,2022,0,2,17,40000,8,52351,20,100,18,1
305,2022,3,2,12,99000,16,99000,55,0,48,1
306,2022,3,2,12,116000,16,116000,55,0,48,1
307,2022,2,2,12,106260,16,106260,55,0,48,1
308,2022,2,2,12,126500,16,126500,55,0,48,1
309,2022,1,2,17,242000,16,242000,55,100,48,1
310,2022,1,2,17,200000,16,200000,55,100,48,1
311,2022,2,2,22,50000,8,65438,20,0,18,1
312,2022,2,2,22,30000,8,39263,20,0,18,1
313,2022,2,2,17,60000,8,78526,20,0,18,1
314,2022,2,2,17,40000,8,52351,20,0,18,1
315,2022,3,2,22,165220,16,165220,55,100,48,1
316,2022,0,2,17,35000,8,45807,20,100,18,1
317,2022,3,2,22,120160,16,120160,55,100,48,1
318,2022,3,2,12,90320,16,90320,55,100,48,1
319,2022,3,2,17,181940,16,181940,55,0,48,1
320,2022,3,2,17,132320,16,132320,55,0,48,1
321,2022,3,2,17,220110,16,220110,55,0,48,1
322,2022,3,2,17,160080,16,160080,55,0,48,1
323,2022,3,2,22,180000,16,180000,55,0,48,0
324,2022,3,2,22,120000,16,120000,55,0,48,0
325,2022,3,2,12,124190,16,124190,55,100,48,1
326,2022,1,2,12,130000,16,130000,55,100,48,1
327,2022,1,2,12,110000,16,110000,55,100,48,1
328,2022,3,2,12,170000,16,170000,55,100,48,1
329,2022,2,2,12,115500,16,115500,55,100,48,1
330,2022,3,2,12,112900,16,112900,55,100,48,1
331,2022,3,2,12,90320,16,90320,55,100,48,1
332,2022,3,2,12,112900,16,112900,55,100,48,1
333,2022,3,2,12,90320,16,90320,55,100,48,1
334,2022,3,2,17,165400,16,165400,55,100,48,1
335,2022,3,2,17,132320,16,132320,55,100,48,1
336,2022,2,2,12,167000,16,167000,55,100,48,1
337,2022,3,2,17,243900,16,243900,55,100,48,1
338,2022,3,2,12,136600,16,136600,55,100,48,1
339,2022,3,2,12,109280,16,109280,55,100,48,1
340,2022,3,2,17,128875,16,128875,55,100,48,1
341,2022,3,2,17,93700,16,93700,55,100,48,1
342,2022,1,2,30,224000,16,224000,55,100,48,1
343,2022,1,2,30,167875,16,167875,55,100,48,1
344,2022,1,2,2,175000,16,175000,55,100,48,1
345,2022,3,2,17,156600,16,156600,55,100,48,1
346,2022,3,2,17,108800,16,108800,55,0,48,1
347,2022,3,2,22,95550,16,95550,55,0,48,1
348,2022,3,2,17,113000,16,113000,55,0,48,0
349,2022,3,2,12,135000,16,135000,55,100,48,1
350,2022,3,2,21,161342,16,161342,55,100,48,1
351,2022,3,2,21,137141,16,137141,55,100,48,1
352,2022,3,2,22,167000,16,167000,55,100,48,1
353,2022,3,2,22,123000,16,123000,55,100,48,1
354,2022,3,2,17,60000,8,78526,20,0,18,1
355,2022,3,2,17,50000,8,65438,20,0,18,1
356,2022,3,2,22,150000,16,150000,55,0,48,1
357,2022,3,2,22,211500,16,211500,55,100,48,1
358,2022,3,2,16,192400,16,192400,8,100,6,1
359,2022,3,2,16,90700,16,90700,8,100,6,1
360,2022,3,2,12,130000,16,130000,8,100,6,1
361,2022,3,2,12,61300,16,61300,8,100,6,1
362,2022,3,2,12,130000,16,130000,8,100,6,1
363,2022,3,2,12,61300,16,61300,8,100,6,1
364,2022,3,2,17,160000,16,160000,55,0,48,0
365,2022,3,2,22,138600,16,138600,55,100,48,1
366,2022,3,2,17,136000,16,136000,55,0,48,1
367,2022,2,2,12,58000,16,58000,55,0,48,2
368,2022,1,2,2,135000,16,135000,55,100,48,1
369,2022,3,2,22,170000,16,170000,55,100,48,1
370,2022,3,2,22,123000,16,123000,55,100,48,1
371,2022,3,2,38,189650,16,189650,55,0,48,1
372,2022,3,2,38,164996,16,164996,55,0,48,1
373,2022,2,2,26,50000,7,54957,21,0,19,1
374,2022,2,2,26,50000,7,54957,21,0,19,1
375,2022,1,2,33,150000,2,118187,8,100,6,2
376,2022,3,2,12,132000,16,132000,55,0,48,1
377,2022,3,2,17,165400,16,165400,55,100,48,1
378,2022,3,2,16,208775,16,208775,55,100,48,1
379,2022,3,2,16,147800,16,147800,55,100,48,1
380,2022,3,2,17,136994,16,136994,55,100,48,1
381,2022,3,2,17,101570,16,101570,55,100,48,1
