Unnamed: 0,work_year,experience_level,employment_type,job_title,salary,salary_currency,employee_residence,remote_ratio,company_location,company_size
321,2022,3,2,17,220110,16,55,0,48,1
533,2022,3,2,38,192600,16,55,100,48,1
272,2021,0,2,19,65000,7,14,0,12,0
94,2021,0,2,22,2200000,10,27,50,25,0
180,2021,2,2,7,1672000,10,27,0,25,0
334,2022,3,2,17,165400,16,55,100,48,1
331,2022,3,2,12,90320,16,55,100,48,1
414,2022,2,2,17,60000,8,20,100,18,1
5,2020,0,2,12,72000,16,55,100,48,0
45,2020,0,3,36,14000,7,14,100,12,2
537,2022,3,2,17,155000,16,55,100,48,1
393,2022,3,2,12,90320,16,55,100,48,1
388,2022,3,2,17,155000,16,55,100,48,1
16,2020,0,2,17,4450000,11,32,100,29,2
48,2020,2,2,22,105000,16,55,100,48,0
586,2022,2,2,12,35000,8,20,0,18,1
494,2022,3,2,22,100000,16,7,100,48,1
3,2020,2,2,47,20000,16,23,0,20,2
329,2022,2,2,12,115500,16,55,100,48,1
444,2022,3,2,22,215300,16,55,0,48,0
557,2022,3,2,17,70500,16,55,0,48,1
439,2022,3,2,38,164996,16,55,0,48,1
304,2022,0,2,17,40000,8,20,100,18,1
225,2021,1,0,46,416000,16,55,100,48,2
26,2020,0,2,48,42000,16,40,50,37,0
490,2022,3,2,29,200000,16,38,100,48,1
263,2021,3,2,38,4900000,10,27,0,25,0
50,2020,0,2,12,450000,10,27,0,25,2
229,2021,3,2,12,90000,2,8,100,6,1
37,2020,0,2,38,250000,16,55,50,48,0
157,2021,2,2,4,423000,16,55,50,48,0
237,2021,2,2,22,39600,7,18,100,16,1
581,2022,3,2,12,106260,16,55,100,48,1
175,2021,3,2,18,174000,16,55,100,48,0
506,2022,2,2,4,75000,16,6,100,48,0
354,2022,3,2,17,60000,8,20,0,18,1
194,2021,3,2,48,120500,2,8,50,6,0
511,2022,2,2,8,90000,2,8,50,6,0
328,2022,3,2,12,170000,16,55,100,48,1
585,2022,3,2,12,110925,16,55,100,48,1
517,2022,2,2,17,62000,7,19,100,17,1
67,2020,3,2,21,190200,16,55,100,48,1
322,2022,3,2,17,160080,16,55,0,48,1
168,2021,0,2,5,55000,16,55,50,48,2
509,2022,2,2,3,157000,16,55,100,48,0
162,2021,2,2,17,24000,7,36,50,33,0
